folio,nro,upm,ms02_0216,ms01_0101_1a,ms01_0101_1b,ms01_0101_1c,ms02_0217,ms02_0218,ms02_0219_1,ms02_0219_2,ms02_0220,ms02_0221,ms02_0222,ms02_0223,ms02_0224,ms02_0224_1,ms02_0225,ms02_0225_cod,estrato,departamento,area,ponderadorm,b3,v008,ms02_0223_o
111-000031-A-0131,2.0,111-000031-A,2.0,4.0,9.0,2023.0,1. UNICO,1. HOMBRE,2.0,2011.0,1. SI,12.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1334.0,1485.0,4.0
111-000031-A-0131,2.0,111-000031-A,3.0,4.0,9.0,2023.0,2. MULTIPLE,2. MUJER,1.0,2019.0,1. SI,4.0,1. SI,5.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1429.0,1485.0,5.0
111-000031-A-0131,2.0,111-000031-A,4.0,4.0,9.0,2023.0,2. MULTIPLE,2. MUJER,1.0,2019.0,1. SI,4.0,1. SI,6.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1429.0,1485.0,6.0
111-000031-A-0161,2.0,111-000031-A,1.0,5.0,9.0,2023.0,1. UNICO,1. HOMBRE,10.0,2009.0,1. SI,13.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1318.0,1485.0,3.0
111-000031-A-0161,2.0,111-000031-A,2.0,5.0,9.0,2023.0,1. UNICO,2. MUJER,2.0,2014.0,1. SI,9.0,1. SI,4.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1370.0,1485.0,4.0
111-000031-A-0161,2.0,111-000031-A,3.0,5.0,9.0,2023.0,1. UNICO,2. MUJER,10.0,2015.0,1. SI,7.0,1. SI,5.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1390.0,1485.0,5.0
132-002762-A-0121,1.0,132-002762-A,1.0,7.0,12.0,2023.0,1. UNICO,2. MUJER,10.0,2015.0,1. SI,8.0,1. SI,2.0,,,,,112,1. Chuquisaca,1. Urbana,0.38800977279421317,1390.0,1488.0,2.0
132-002762-A-0121,1.0,132-002762-A,2.0,7.0,12.0,2023.0,1. UNICO,2. MUJER,3.0,2018.0,1. SI,5.0,1. SI,3.0,,,,,112,1. Chuquisaca,1. Urbana,0.38800977279421317,1419.0,1488.0,3.0
132-002762-A-0051,2.0,132-002762-A,1.0,8.0,12.0,2023.0,1. UNICO,1. HOMBRE,7.0,2017.0,1. SI,6.0,1. SI,4.0,,,,,112,1. Chuquisaca,1. Urbana,0.38800977279421317,1411.0,1488.0,4.0
132-002762-A-0051,2.0,132-002762-A,2.0,8.0,12.0,2023.0,1. UNICO,1. HOMBRE,4.0,2021.0,1. SI,2.0,1. SI,3.0,,,,,112,1. Chuquisaca,1. Urbana,0.38800977279421317,1456.0,1488.0,3.0
152-003754-D-0101,2.0,152-003754-D,1.0,27.0,10.0,2023.0,1. UNICO,2. MUJER,11.0,2000.0,1. SI,22.0,2. NO,0.0,,,,,122,1. Chuquisaca,2. Rural,0.2713541537675795,1211.0,1486.0,0.0
152-003754-D-0101,2.0,152-003754-D,2.0,27.0,10.0,2023.0,1. UNICO,2. MUJER,1.0,2002.0,2. NO,,,0.0,1. DIAS,7.0,3. NACIO PREMATURO,,122,1. Chuquisaca,2. Rural,0.2713541537675795,1225.0,1486.0,
152-003754-D-0101,2.0,152-003754-D,3.0,27.0,10.0,2023.0,1. UNICO,1. HOMBRE,12.0,2003.0,2. NO,,,0.0,1. DIAS,14.0,2. PROBLEMAS DE RESPIRACIÓN (ASFIXIA),,122,1. Chuquisaca,2. Rural,0.2713541537675795,1248.0,1486.0,
152-003754-D-0101,2.0,152-003754-D,4.0,27.0,10.0,2023.0,1. UNICO,1. HOMBRE,11.0,2007.0,1. SI,15.0,1. SI,3.0,,,,,122,1. Chuquisaca,2. Rural,0.2713541537675795,1295.0,1486.0,3.0
152-003754-D-0101,2.0,152-003754-D,5.0,27.0,10.0,2023.0,1. UNICO,2. MUJER,3.0,2023.0,1. SI,0.0,1. SI,4.0,,,,,122,1. Chuquisaca,2. Rural,0.2713541537675795,1479.0,1486.0,4.0
153-003906-D-0021,2.0,153-003906-D,1.0,3.0,11.0,2023.0,1. UNICO,1. HOMBRE,7.0,2010.0,1. SI,13.0,1. SI,3.0,,,,,123,1. Chuquisaca,2. Rural,0.5997899915263527,1327.0,1487.0,3.0
153-003906-D-0021,2.0,153-003906-D,2.0,3.0,11.0,2023.0,1. UNICO,2. MUJER,2.0,2017.0,1. SI,6.0,1. SI,4.0,,,,,123,1. Chuquisaca,2. Rural,0.5997899915263527,1406.0,1487.0,4.0
144-003844-D-0331,1.0,144-003844-D,1.0,8.0,11.0,2023.0,1. UNICO,1. HOMBRE,12.0,2000.0,1. SI,22.0,1. SI,2.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1212.0,1487.0,2.0
144-003844-D-0331,1.0,144-003844-D,2.0,8.0,11.0,2023.0,1. UNICO,1. HOMBRE,2.0,2004.0,1. SI,19.0,2. NO,0.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1250.0,1487.0,0.0
144-003844-D-0331,1.0,144-003844-D,3.0,8.0,11.0,2023.0,1. UNICO,1. HOMBRE,8.0,2006.0,1. SI,17.0,1. SI,3.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1280.0,1487.0,3.0
144-003844-D-0331,1.0,144-003844-D,4.0,8.0,11.0,2023.0,1. UNICO,2. MUJER,5.0,2008.0,1. SI,15.0,1. SI,4.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1301.0,1487.0,4.0
144-003844-D-0331,1.0,144-003844-D,5.0,8.0,11.0,2023.0,1. UNICO,1. HOMBRE,8.0,2011.0,1. SI,12.0,2. NO,0.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1340.0,1487.0,0.0
144-003844-D-0331,1.0,144-003844-D,6.0,8.0,11.0,2023.0,1. UNICO,1. HOMBRE,9.0,2013.0,1. SI,10.0,2. NO,0.0,,,,,124,1. Chuquisaca,2. Rural,0.284171074537788,1365.0,1487.0,0.0
